zipcode	address	categories	name	price	rating	url	price_range	somas_opinion
10025	964 Amsterdam AveNew York, NY 10025	Italian	La Piccola Cucina	$$	4.0	https://www.yelp.com/biz/la-piccola-cucina-new-york?osq=pasta	normal	hate
10027	125 La Salle StNew York, NY 10027	Italian	Pisticci	$$	4.0	https://www.yelp.com/biz/pisticci-new-york?osq=pasta	normal	hate
10027	1274 Amsterdam AveNew York, NY 10027	Italian	Max Soha	$$	4.0	https://www.yelp.com/biz/max-soha-new-york?osq=pasta	normal	hate
10025	886 Amsterdam AveNew York, NY 10025	Italian	Arco Cafe	$$	4.5	https://www.yelp.com/biz/arco-cafe-new-york?osq=pasta	normal	hate
10025	2791 BroadwayNew York, NY 10025	Pizza, Italian	Mezzogiorno	$$	4.0	https://www.yelp.com/biz/mezzogiorno-new-york-2?osq=pasta	normal	hate
10025	1034 Amsterdam AveNew York, NY 10025	Italian	Tartina	$$	4.0	https://www.yelp.com/biz/tartina-new-york-4?osq=pasta	normal	hate
10025	53 W 106 StNew York, NY 10025	Italian	Osteria 106	$$	4.5	https://www.yelp.com/biz/osteria-106-new-york?osq=pasta	normal	hate
10031	1600 Amsterdam AveNew York, NY 10031	Pizza, Italian, Bars	Fumo Pizza-Bar-Pasta	$$	4.0	https://www.yelp.com/biz/fumo-pizza-bar-pasta-new-york-3?osq=pasta	normal	hate
10027	3143 BroadwayNew York, NY 10027	Pizza, Italian	Bettolona	$$	4.0	https://www.yelp.com/biz/bettolona-new-york?osq=pasta	normal	hate
10021	1415 Second AveNew York, NY 10021	Italian, Pasta Shops	Bigoi Venezia	$	4.5	https://www.yelp.com/biz/bigoi-venezia-new-york?osq=pasta	cheap	love
