categories	name	price	rating	url
Italian	La Piccola Cucina	$$	4.0	https://www.yelp.com/biz/la-piccola-cucina-new-york?osq=pasta
Italian	Pisticci	$$	4.0	https://www.yelp.com/biz/pisticci-new-york?osq=pasta
Italian	Max Soha	$$	4.0	https://www.yelp.com/biz/max-soha-new-york?osq=pasta
Italian	Arco Cafe	$$	4.5	https://www.yelp.com/biz/arco-cafe-new-york?osq=pasta
Pizza, Italian	Mezzogiorno	$$	4.0	https://www.yelp.com/biz/mezzogiorno-new-york-2?osq=pasta
Italian	Tartina	$$	4.0	https://www.yelp.com/biz/tartina-new-york-4?osq=pasta
Italian	Osteria 106	$$	4.5	https://www.yelp.com/biz/osteria-106-new-york?osq=pasta
Pizza, Italian, Bars	Fumo Pizza-Bar-Pasta	$$	4.0	https://www.yelp.com/biz/fumo-pizza-bar-pasta-new-york-3?osq=pasta
Pizza, Italian	Bettolona	$$	4.0	https://www.yelp.com/biz/bettolona-new-york?osq=pasta
Italian, Pasta Shops	Bigoi Venezia	$	4.5	https://www.yelp.com/biz/bigoi-venezia-new-york?osq=pasta
