name,url,mailing_address,location_address,licence_information,total_amount_paid,issued_by
VAPE IT STORE II,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=ty00ak8Tdnk%3D,"AMIN NARGIS
1104 PLANTERS PLACE
SALISBURY, MD 21804","VAPE IT STORE II
1015 S SALISBURY BLVD
SALISBURY, MD 21801","License Status: Issued
License No.: 22375606
Control No.: 22884439
Date of Issue: 4/27/2018
Months Paid: 12
Exp. Date: 4/30/2019
Subdivision: 22 Salisbury",$ 41.00,"WICOMICO COUNTY, CLERK OF CIRCUIT COURT
P.O. BOX 198
SALISBURY, MARYLAND 21803-0198"
VAPE IT STORE I,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=AGAXVi3VweA%3D,"AMIN NARGIS
1104 PLANTERS PLACE
SALISBURY, MD 21804","VAPE IT STORE I
1724 N SALISBURY BLVD UNIT 2
SALISBURY, MD 21801","License Status: Issued
License No.: 22375605
Control No.: 22591855
Date of Issue: 4/27/2018
Months Paid: 12
Exp. Date: 4/30/2019
Subdivision: 22 Salisbury",$ 24.00,"WICOMICO COUNTY, CLERK OF CIRCUIT COURT
P.O. BOX 198
SALISBURY, MARYLAND 21803-0198"
VAPEPAD THE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=WqxNSeBUqqM%3D,"ANJ DISTRIBUTIONS LLC
2504 ORCHARD KNOLL WAY
ODENTON, MD 21113","VAPEPAD THE
2299 JOHNS HOPKINS ROAD
GAMBRILLS, MD 21054","License Status: Issued
License No.: 02304705
Control No.: 02685930
Date of Issue: 4/05/2018
Months Paid: 12
Exp. Date: 4/30/2019
Subdivision: 02 Anne Arundel County",$ 94.00,"ROBERT P. DUCKWORTH, CLERK OF CIRCUIT COURT
8 CHURCH CIRCLE, ROOM H-101
ANNAPOLIS, MARYLAND 21401"
VAPE FROG,,,,,,
VAPE FROG,,,,,,
VAPE LOFT THE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=PvmfWmi%2B6aE%3D,DISBROW II EMERSON HARRINGTON,"VAPE LOFT THE
185 MITCHELLS CHANCE RD
EDGEWATER, MD 21037","License Status: Issued
License No.: 02310799
Control No.: 02686069
Date of Issue: 4/03/2018
Months Paid: 12
Exp. Date: 4/30/2019
Subdivision: 02 Anne Arundel County",$ 154.00,"ROBERT P. DUCKWORTH, CLERK OF CIRCUIT COURT
8 CHURCH CIRCLE, ROOM H-101
ANNAPOLIS, MARYLAND 21401"
VAPE N CIGAR,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=bniUdS0yk%2FA%3D,DISCOUNT TOBACCO ESSEX LLC,"VAPE N CIGAR
7104 MINSTREL UNIT #7
COLUMBIA, MD 21045","License Status: Issued
License No.: 13343011
Control No.: 13856368
Date of Issue: 4/30/2018
Months Paid: 12
Exp. Date: 4/30/2019
Subdivision: 13 Howard County",$ 84.00,"WAYNE A. ROBEY, CLERK OF CIRCUIT COURT
9250 BENDIX ROAD
COLUMBIA, MARYLAND 21045"
VAPE DOJO,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=dKNRCQX%2F05M%3D,FAIRGROUND VILLAGE LLC,"VAPE DOJO
330 ONE FORTY VILLAGE ROAD
UNIT 15
WESTMINSTER, MD 21157","License Status: Issued
License No.: 06327188
Control No.: 06946760
Date of Issue: 4/05/2018
Months Paid: 12
Exp. Date: 4/30/2019
Subdivision: 06 Westminster",$ 179.00,"DONALD B. SEALING II, CLERK OF CIRCUIT COURT
55 NORTH COURT STREET
WESTMINSTER, MARYLAND 21157-5155"
VAPE HAVEN,,,,,,
VAPORS LOUNGE,,,,,,
