favourites,summary,title,url
97 favorites,Do you feel low? Worn down? Discouraged? Maybe you need a break. Maybe you need a lot of breaks. Here are 25 ways to feel happier in the next 5 minutes because we all could use a little happiness. No good? Perhaps 14 ways to get through tough times is a better fit.,Feeling Low? Time to Get Happy,https://www.metafilter.com/174779/Feeling-Low-Time-to-Get-Happy
68 favorites,lofi study chill beats radio,Music to do nothing to,https://www.metafilter.com/174787/Music-to-do-nothing-to
53 favorites,,A story about a shower curtain,https://www.metafilter.com/174793/A-story-about-a-shower-curtain
68 favorites (51 in the past 24 hours),"I ask a bunch of men, ""Have you ever interrupted a woman?""",interrupt me one more time,https://www.metafilter.com/174776/interrupt-me-one-more-time
36 favorites,"A wonderful profile by Samanth Subramanian of James Martin, perhaps the world's best forensic forgery detection expert, waging a battle with increasingly skilled forgers who have set off a ""crisis of authentication"" in ""a time when the art market is synonymous with art itself.""",How to Spot a Perfect Fake: the World's Top Art Forgery Detective,https://www.metafilter.com/174780/How-to-Spot-a-Perfect-Fake-the-Worlds-Top-Art-Forgery-Detective
36 favorites,Not Ok is an app to let people know you need help. Designed by teenagers for both physical and mental illnesses. Hannah Lucas came up with the idea for this because she needed it herself.,An actual panic button,https://www.metafilter.com/174783/An-actual-panic-button
32 favorites,"Sure, in this age of LCD screens and 8k displays , it's easy-ish to understand how video is played. But what about before computers, before integrated circuits, hell, before transistors?  Simple. Televisions used analog lines of light to draw their pictures.",Technology Connections,https://www.metafilter.com/174785/Technology-Connections
44 favorites (22 in the past 24 hours),""" She will not be missed "" is a brutal phrase to read in an obituary, but leads to the question: how have obits changed in recent time? Susan Soper has a theory: ""after 9/11 when The New York Times wrote those hundreds and hundreds and hundreds, thousands of very short, poignant obituaries in their pages ...  that was sort of when the tide turned in obituaries and people realized that you could bring a person to life and keep them alive in even a short written bio, really."" And many taboo topics, like children born out of wedlock, drug use and suicide, are less of taboos than they used to be [ content warning ].","The art and standards of obituaries, reflecting current traditions",https://www.metafilter.com/174774/The-art-and-standards-of-obituaries-reflecting-current-traditions
21 favorites,,Sex Workers Vs The Internet,https://www.metafilter.com/174795/Sex-Workers-Vs-The-Internet
18 favorites,"Michigan Central Station was originally a grand train depot in the style of the early 20th Century, complete with an office building that made it the tallest train station in the world. It fell into disrepair as Detroit's own automotive industry killed the trains, and has stood as one of the preeminent examples of "" ruin porn "". But earlier this month, Ford bought the structure , intending to redevelop it as a hub for its autonomous vehicle development",Time for Detroit renewal,https://www.metafilter.com/174794/Time-for-Detroit-renewal
18 favorites,,On the otter of sobriety,https://www.metafilter.com/174796/On-the-otter-of-sobriety
16 favorites,"Jared Pechacek ( @vandroidhelsing ) has used Twitter's poll feature to write three Choose Your Own Adventure-style stories — each a fairy tale, of one sort or another — as he responded in real time to readers' choices. The Well : a story of blessings and curses The Lady at Winter's Heart : a story of gifts The Last Queen of Elphame : a story of noir in the city of the fae *",The night in Day is brighter than the day in Night.,https://www.metafilter.com/174784/The-night-in-Day-is-brighter-than-the-day-in-Night
16 favorites (14 in the past 24 hours),"The Death of a Once Great City: The Urban Crisis of Affluence. What are we going to do about a New York that is, right now, being plundered not only of its treasure but also of its heart, and soul, and purpose?",So what are we going to do about it?,https://www.metafilter.com/174777/So-what-are-we-going-to-do-about-it
14 favorites,"It is a truth universally acknowledged that no pleasure is so cheaply bought, and so unmarred by complexity, as the simple joy of seeing a dog hurl itself into a pond in pursuit of a slobbery stick. Science has proven the impossibility of the human brain to register self-pity, or maunder on about the generally sorry state of things, while in the presence of canine bellyflops .","What Spitty does well is jump. At this, he excels.",https://www.metafilter.com/174781/What-Spitty-does-well-is-jump-At-this-he-excels
12 favorites,Meet the man who holds the keys to the Pope’s Museums,The Keeper of the Keys,https://www.metafilter.com/174788/The-Keeper-of-the-Keys
31 favorites (11 in the past 24 hours),""" My wife said you may want to marry me . A little over a year ago, my wife, Amy Krouse Rosenthal, published a Modern Love essay called “",My Wife Said You May Want to Marry Me,https://www.metafilter.com/174772/My-Wife-Said-You-May-Want-to-Marry-Me
25 favorites (11 in the past 24 hours),Fred Gonsowski has been sharing gardening tips at Fred Gonsowski Garden Home since 2010 based on his experience building a beautiful garden at his upstate New York home .,Fred Gonsowski would like to share his gardening wisdom,https://www.metafilter.com/174771/Fred-Gonsowski-would-like-to-share-his-gardening-wisdom
20 favorites (9 in the past 24 hours),"Just As I Am : ""By age twenty, he was working consistently on the bluegrass-gospel circuit. One gig ended abruptly when he loaned his laptop to a couple of bandmates at a recording session. They got nosy and found photos from a hush-hush trip to Gatlinburg with his clandestine boyfriend. 'I don’t know how you and God are,' the bandleader thundered at Brandon, who stared at the floor, 'but you need to get it right. If you keep on this path, you’ll be in hell for sure.'”",Bluegrass pride,https://www.metafilter.com/174770/Bluegrass-pride
9 favorites,,Sending an endless stream of pictures of Gary Busey,https://www.metafilter.com/174778/Sending-an-endless-stream-of-pictures-of-Gary-Busey
249 favorites (8 in the past 24 hours),"Budget Bytes is a weblog/recipe collection I use every single week. It has priced-out ingredients for each recipe and often recipes stay under about $1.50/serving, which is nice for those of us on tight budgets.","""Canned beans and ramen noodles night after night""",https://www.metafilter.com/174733/Canned-beans-and-ramen-noodles-night-after-night
