headline,onclick
경애하는 최고령도자 김정은동지를 모시고 새형의 무궤도전차 시운전이 진행되였다,"fn_showArticle(""AR0109034"", """", ""NT00"", ""L"")"
김정은동지께서 여러 나라 국가수반들과 인사들에게 년하장과 축전을 보내시였다,"fn_showArticle(""AR0108954"", """", ""NT00"", ""L"")"
경애하는 최고령도자 김정은동지께서 새로 개건된 평양무궤도전차공장을 현지지도하시였다,"fn_showArticle(""AR0108920"", """", ""NT00"", ""L"")"
경애하는 최고령도자 김정은동지께서 평양제약공장을 현지지도하시였다,"fn_showArticle(""AR0108657"", """", ""NT00"", ""L"")"
경애하는 최고령도자 김정은동지께서 새로 개건된 평양교원대학을 현지지도하시였다,"fn_showArticle(""AR0108332"", """", ""NT00"", ""L"")"
김정은동지께서 고 김광숙의 령전에 화환을 보내시였다,"fn_showArticle(""AR0108252"", """", ""NT00"", ""L"")"
광명성절경축 꽁고준비위원회 결성,"fn_showArticle(""AR0109096"", """", ""NT41"", ""L"")"
태양절 및 광명성절경축 기네준비위원회 결성,"fn_showArticle(""AR0109095"", """", ""NT41"", ""L"")"
김정일대원수각하 탄생 76돐경축 나이제리아인민진보당준비위원회 결성,"fn_showArticle(""AR0109094"", """", ""NT41"", ""L"")"
김정은동지의 신년사를 우간다정당 기관지가 게재,"fn_showArticle(""AR0109093"", """", ""NT41"", ""L"")"
김정은동지께 수리아대통령이 축전을 보내여왔다,"fn_showArticle(""AR0109107"", """", ""NT41"", ""L"")"
우리 예술단 평양 출발,"fn_showArticle(""AR0109106"", """", ""NT41"", ""L"")"
김정은동지께 몽골 대외관계상이 선물을 드리였다,"fn_showArticle(""AR0109105"", """", ""NT41"", ""L"")"
해내외의 전체 조선민족에게 보내는 공화국의 호소문을 재중동포단체들 지지,"fn_showArticle(""AR0109104"", """", ""NT41"", ""L"")"
조선외무상과 몽골 대외관계상 회담 진행,"fn_showArticle(""AR0109103"", """", ""NT41"", ""L"")"
전국청년동맹일군들 주체혁명위업의 최후승리를 앞당겨나갈것을 맹세,"fn_showArticle(""AR0109102"", """", ""NT41"", ""L"")"
"조국해방전쟁승리기념관 정규무력건설관을 인민군군인들과 각계층 근로자들,청년학생들 련일 참관","fn_showArticle(""AR0109101"", """", ""NT41"", ""L"")"
조선에서 지식인들에게 국가학위학직 수여,"fn_showArticle(""AR0109100"", """", ""NT41"", ""L"")"
조선 국가비상재해위원회와 몽골 국가비상사태관리총국사이의 호상협조에 관한 량해문 조인,"fn_showArticle(""AR0109099"", """", ""NT41"", ""L"")"
최고인민회의 외교위원회 위원장이 몽골 대외관계상일행을 만났다,"fn_showArticle(""AR0109098"", """", ""NT41"", ""L"")"
김영남동지가 몽골 대외관계상일행을 만났다,"fn_showArticle(""AR0109097"", """", ""NT41"", ""L"")"
질좋은 치과위생용품들을 생산,"fn_showArticle(""AR0109092"", """", ""NT41"", ""L"")"
남조선시민단체 검찰내에 만연된 성폭력실태의 조사를 요구,"fn_showArticle(""AR0109090"", """", ""NT41"", ""L"")"
김영남동지 스리랑카대통령의 사업에서 성과가 있을것을 축원,"fn_showArticle(""AR0109089"", """", ""NT41"", ""L"")"
《일당백》의 고향-대덕산초소,"fn_showArticle(""AR0109088"", """", ""NT41"", ""L"")"
"제품의 다종화, 다양화실현에 모를 박고--류경김치공장에서","fn_showArticle(""AR0109075"", """", ""NT41"", ""L"")"
