city,name,url
Birmingham,Alabama Mineral & Lapidary Society,http://www.lapidaryclub.com/
Dothan,Dothan Gem & Mineral Club,http://www.wiregrassrockhounds.com/
Huntsville,Huntsville Gem and Mineral Society,http://huntsvillegms.org/
Mobile,Mobile Rock & Gem Society,http://www.mobilerockandgem.com/
Montgomery,Montgomery Gem & Mineral Society,http://montgomerygemandmineralsociety.com/mgms/
Anchorage,Chugach Gem & Mineral Society,http://www.chugachgemandmineralsociety.com/
Palmer,Mat-Su Rock and Mineral Club,http://matsurockclub.com/
Apache Junction,Apache Junction Rock and Gem Club,http://www.ajrockclub.com/
Black Canyon City,Black Canyon City Rock Club,http://www.bccrockclub.mysite.com/
Anthem,Daisy Mountain Rock & Mineral Club,http://www.dmrmc.com/
Miami,Gila County Gem & Mineral Society,http://gilagem.org/
Sierra Vista,Huachuca Mineral and Gem Club,http://www.huachucamineralandgemclub.info/
Lake Havasu City,Lake Havasu Gem & Mineral Society,http://www.lakehavasugms.org/
Scottsdale,Mineralogical Society of Arizona,http://www.msaaz.org/
Cottonwood,Mingus Gem & Mineral Club,http://www.mingusclub.org/
Kingman,Mohave County Gemstoners,http://www.gemstoners.org/
Tucson,Old Pueblo Lapidary Club,http://www.lapidaryclub.org/
Prescott Valley,Prescott Gem & Mineral Club,http://www.prescottgemmineral.org/
Quartzsite,Quartzsite Roadrunners Gem & Mineral Club,http://www.qrgmc.org/
Phoenix,Rockhounds West,http://rockhounds.scwclubs.com/
Sedona,Sedona Gem & Mineral Club,http://www.sedonagemandmineral.org/
Bullhead City,Silvery Colorado River Rock Club,http://scrrc.blogspot.com/
Pearce,Sunsites Gem and Mineral Club,https://sites.google.com/site/cochisecountyrock/
Tucson,Tucson Gem and Mineral Society,http://www.tgms.org/
Cottonwood,Verde River Rockhounds,http://www.verderiverrockhounds.com/
Buckeye,West Valley Rock & Mineral Club,http://www.westvalleyrockandmineralclub.com/
Show Low,White Mountain Gem & Mineral Club,http://whitemountain-azrockclub.org/
Wickenburg,Wickenburg Gem and Mineral Society,http://www.wickenburggms.org/
Little Rock,"Central Arkansas Gem, Mineral and Geology Society",http://www.centralarrockhound.org/
Siloam Springs,Northwest Arkansas Gem & Mineral Society,http://www.nwarockhounds.org/
Mountain Home,"Ozark Earth Science Gem, Mineral & Fossil Club",https://www.ozarkearthscience.com/
Sutter Creek,Amador County Gem & Mineral Society,http://www.amadorgemandmineral.org/
Anaheim,American Opal Society,http://www.opalsociety.org/
Lancaster,Antelope Valley Gem and Mineral Club,http://avgem.weebly.com/
Antioch,Antioch Lapidary Club,http://www.antiochlapidaryclub.com/
Borrego Springs,Borrego Rock and Gem Club,http://www.abdnha.org/bragclub.html
Angels Camp,Calaveras Gem & Mineral Society,http://www.calaverasgemandmineral.org/
Pacific Grove,Carmel Valley Gem and Mineral Society,http://www.cvgms.rocks/
San Luis Obispo,Central Coast Treasure Hunters Association,http://www.cctha.org/
Coalinga,Coalinga Rockhound Society,https://sites.google.com/site/coalingarockhounds/
Thousand Oaks,Conejo Gem & Mineral Club,http://www.cgamc.org/
Concord,Contra Costa Mineral & Gem Society,http://www.ccmgs.org/
Culver City,The Culver City Rock and Mineral Club,http://culvercityrocks.org/
Northridge,Del Air Rockhounds Club,http://delairrockhounds.blogspot.com/
Bellflower,Delvers Gem & Mineral Society,https://delversgemclub.wordpress.com/
El Cajon,El Cajon Valley Gem & Mineral Society,http://www.ecvgms.org/
Placerville,El Dorado County Mineral and Gem Society,http://www.eldoradomineralandgem.org/
Buena Park,Faceters Guild of Southern California,http://www.fgosc.com/
Fallbrook,"Fallbrook Gem and Mineral Society, Inc.",http://www.fgms.org/FGMS/Home.html
Oroville,Feather River Lapidary & Mineral Society,http://www.featherriverrocks.org/
Yucca Valley,First Class Miners,http://www.firstclassminers.org/
North Highlands,"Fossils for Fun Society, Inc.",https://www.facebook.com/The-Fossils-for-Fun-Society-994879667246272/
Fresno,Fresno Gem & Mineral Society,http://fgms.us/
Placerville,Gold Country Treasure Seekers,https://goldcountrytreasureseekers.shutterfly.com/
Yucca Valley,Hi-Desert Rockhounds of Morongo Valley,http://www.hi-desertrockhounds.org/
Ridgecrest,Indian Wells Valley Gem & Mineral Society,http://indianwells.weebly.com/
Bakersfield,Kern County Mineral Society,http://kerncountymineralsociety.org/
Lemoore,Lemoore Gem and Mineral Club,https://www.facebook.com/Lemoore-Gem-and-Mineral-Club-706220872829687/
Livermore,Livermore Valley Lithophiles,http://www.lithophiles.com/
Lone Pine,Line Pine Gem & Mieral Society,http://lpgms.org/
Mariposa,Mariposa Gem & Mineral Club,http://mariposagmc.org/
Hayward,Mineral & Gem Society of Castro Valley,http://www.mgscv.org/
Pasadena,Mineralogical Society of Southern California,http://www.mineralsocal.org/
Barstow,Mojave Desert Gem & Mineral Society,http://www.mdgms.net/
Monrovia,Monrovia Rock Hounds Inc.,http://www.moroks.com/
Modesto,Mother Lode Mineral Society,http://www.motherlodemineralsociety.com/
Mohave Valley,Needles Gem & Mineral Club,http://needlesgemmineralclub.blogspot.com/
Grass Valley,Nevada County Gem & Mineral Society,http://www.ncgms.org/
Orinda,Northern California Geological Society,http://www.ncgeolsoc.org/
