ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City
,O,0,OAQK,"Victory Schools, DBA The Charter School of Excelle",Elementary,2,0,0,260 WARBURTON AVE,NY,10701,,,,"0K,01,02,03,04",YONKERS
10X081,X,2,X081,P.S. 081 ROBERT J. CHRISTEN,Elementary,1,10,10,5550 RIVERDALE AVENUE,NY,10471,MELODIE MASHEL,718-796-8965,718-796-7242,"0K,01,02,03,04,05,SE",BRONX
11X016,X,2,X016,P.S. 016 WAKEFIELD,Elementary,1,11,11,4550 CARPENTER AVENUE,NY,10470,YVONNE WILLIAMS,718-324-1262,718-324-8370,"PK,0K,01,02,03,04,05,SE",BRONX
11X019,X,2,X019,P.S. 019 JUDITH K. WEISS,K-8,1,11,11,4318 KATONAH AVENUE,NY,10470,Timothy P. Sullivan,718-324-1924,718-994-9132,"0K,01,02,03,04,05,06,07,08,SE",BRONX
11X087,X,2,X087,P.S. 087 BRONX,Elementary,1,11,11,1935 BUSSING AVENUE,NY,10466,DONNA ANAMAN,718-324-5188,718-325-1148,"0K,01,02,03,04,05,SE",BRONX
11X103,X,2,X103,P.S. 103 HECTOR FONTANEZ,Elementary,1,11,11,4125 CARPENTER AVENUE,NY,10466,Farid Reyes,718-655-0261,718-654-7930,"0K,01,02,03,04,05,SE",BRONX
11X068,X,2,X068,P.S. 068 BRONX,Elementary,1,11,11,4011 MONTICELLO AVENUE,NY,10466,Catherine Helfrich,718-324-2854,718-324-3852,"PK,0K,01,02,03,04,05,SE",BRONX
10X141,X,2,X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,Secondary School,1,10,10,660 WEST 237 STREET,NY,10463,LORI O'MARA,718-796-8516,718-796-8657,"06,07,08,09,10,11,12,SE",BRONX
11X270,X,2,X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A CO,Secondary School,1,11,11,921 EAST 228TH STREET,NY,10466,Zenobia White,718-696-3840,718-696-3841,"06,07,08,09,10,11,12,SE",BRONX
11X513,X,2,X513,NEW WORLD HIGH SCHOOL,High school,1,11,11,921 EAST 228TH STREET,NY,10466,FAUSTO SALAZAR,718-696-3800,718-696-3801,"09,10,11,12",BRONX
11X514,X,2,X514,SPORTS PROFESSIONS HIGH SCHOOL,High school,1,11,11,921 EAST 228TH STREET,NY,10466,JANET GALLARDO,718-696-3820,718-696-3821,"09,10,11,12,SE",BRONX
11X021,X,2,X021,P.S. 021 PHILLIP H. SHERIDAN,Elementary,1,11,11,715 EAST 225 STREET,NY,10466,JOYCE COLEMAN,718-652-3903,718-231-2556,"0K,01,02,03,04,05,SE",BRONX
10X024,X,2,X024,P.S. 024 SPUYTEN DUYVIL,Elementary,1,10,10,660 WEST 236 STREET,NY,10463,DONNA CONNELLY,718-796-8845,718-796-7243,"0K,01,02,03,04,05,SE",BRONX
11X142,X,2,X142,J.H.S. 142 JOHN PHILIP SOUSA,Junior High-Intermediate-Middle,1,11,11,3750 BAYCHESTER AVENUE,NY,10466,CASIMIRO CIBELLI,718-231-0100,718-231-3046,"06,07,08,SE",BRONX
11X532,X,2,X532,Baychester Middle School,Junior High-Intermediate-Middle,1,11,11,3750 BAYCHESTER AVENUE,NY,10466,Shawn Mangar,718-935-3577,,"06,07,08,SE",BRONX
11X529,X,2,X529,One World Middle School at Edenwald,Junior High-Intermediate-Middle,1,11,11,3750 BAYCHESTER AVENUE,NY,10466,Patricia Wynne,718-935-3587,,"06,07,08,SE",BRONX
11X111,X,2,X111,P.S. 111 SETON FALLS,Elementary,1,11,11,3740 BAYCHESTER AVENUE,NY,10466,AVA FULLENWEIDER,718-881-2418,718-405-5927,"PK,0K,01,02,03,04,05,SE",BRONX
84X718,X,2,X718,BRONX CHARTER SCHOOL FOR BETTER LEARNING,Elementary,2,11,84,3740 BAYCHESTER AVENUE,NY,10466,Shubert Jacobs,718-655-6660,718-655-5555,"0K,01,02,03,04,05",BRONX
10X308,X,2,X308,BRONX DANCE ACADEMY SCHOOL,Junior High-Intermediate-Middle,1,10,10,3617 BAINBRIDGE AVENUE,NY,10467,SANDRA SANCHEZ,718-515-0410,718-515-0345,"06,07,08,SE",BRONX
11X112,X,2,X112,P.S. 112 BRONXWOOD,Elementary,1,11,11,1925 SCHIEFFELIN AVENUE,NY,10466,SUSAN BARNES,718-654-6377,718-654-7931,"PK,0K,01,02,03,04,05,SE",BRONX
10X095,X,2,X095,P.S. 095 SHEILA MENCHER,K-8,1,10,10,3961 HILLMAN AVENUE,NY,10463,Serge Marshall Davis,718-796-9200,718-796-7330,"PK,0K,01,02,03,04,05,06,07,08,SE",BRONX
10X344,X,2,X344,AMPARK NEIGHBORHOOD,Elementary,1,10,10,3961 HILLMAN AVENUE,NY,10463,ELIZABETH LOPEZ-TOWEY,718-548-3451,,"0K,01,02,03,04,05",BRONX
75X723,X,2,X723,X723,K-12 all grades,1,11,75,3540 BIVONA STREET,NY,10475,CHRISTINE WALSH,718-320-1222,718-320-2213,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",BRONX
11X169,X,2,X169,BAYCHESTER ACADEMY,Early Childhood,1,11,11,3500 EDSON AVENUE,NY,10466,CRISTINE VAUGHAN,718-325-1138,718-325-1558,"PK,0K,01,02,SE",BRONX
10X007,X,2,X007,P.S. 007 KINGSBRIDGE,Elementary,1,10,10,3201 KINGSBRIDGE AVENUE,NY,10463,Frank Patterson,718-796-8695,718-796-7204,"0K,01,02,03,04,05,SE",BRONX
11X272,X,2,X272,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,Junior High-Intermediate-Middle,1,11,11,3710 BARNES AVENUE,NY,10467,MATTHEW ANGELL,718-994-1395,718-994-1316,"06,07,08,SE",BRONX
11X287,X,2,X287,THE FORWARD SCHOOL,Junior High-Intermediate-Middle,1,11,11,3710 BARNES AVENUE,NY,10467,ADRIENNE PHIFER,718-652-0519,718-652-0428,"06,07,08,SE",BRONX
11X289,X,2,X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,Junior High-Intermediate-Middle,1,11,11,3710 BARNES AVENUE,NY,10467,JEANETTE VARGAS,718-325-5834,718-325-5676,"06,07,08,SE",BRONX
11X370,X,2,X370,SCHOOL OF DIPLOMACY,Junior High-Intermediate-Middle,1,11,11,3710 BARNES AVENUE,NY,10467,JOHN SCALICE,718-994-1028,,"06,07,08,SE",BRONX
10X499,X,2,X499,Kingsbridge Innovative Design Charter School (KIDC),Elementary,2,10,84,295 WEST  231 STREET,NY,10463,Julio Cotto,917-858-1191,646-530-8286,"0K,01",BRONX
10X440,X,2,X440,DEWITT CLINTON HIGH SCHOOL,High school,1,10,10,100 WEST MOSHOLU PARKWAY SOUTH,NY,10468,GERALDINE AMBROSIO,718-543-1000,718-548-0036,"09,10,11,12,SE",BRONX
10X094,X,2,X094,P.S. 094 KINGS COLLEGE SCHOOL,Elementary,1,10,10,3530 KINGS COLLEGE PLACE,NY,10467,DIANE DAPROCIDA,718-405-6345,718-405-6358,"0K,01,02,03,04,05,SE",BRONX
10X037,X,2,X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,K-8,1,10,10,360 WEST 230 STREET,NY,10463,KENNETH PETRICCIONE,718-796-0360,718-796-0054,"0K,01,02,03,04,05,06,07,08,SE",BRONX
10X368,X,2,X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),Secondary School,1,10,10,2975 TIBBETT AVENUE,NY,10463,Yvette Allen,718-432-4300,718-432-4310,"06,07,08,09,10,11,12,SE",BRONX
11X078,X,2,X078,P.S. 078 ANNE HUTCHINSON,Elementary,1,11,11,1400 NEEDHAM AVENUE,NY,10469,CLAUDINA SKERRITT,718-652-1244,718-231-2756,"0K,01,02,03,04,05,SE",BRONX
10X207,X,2,X207,P.S. 207,Elementary,1,10,10,3030 GODWIN TERRACE,NY,10463,MARIA ROSADO,718-796-9645,718-796-7206,"PK,0K,01,02,SE",BRONX
10X237,X,2,X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND",High school,1,10,10,120 WEST 231 STREET,NY,10463,RODNEY FISHER,718-432-6491,718-796-7051,"09,10,11,12,SE",BRONX
10X244,X,2,X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,Junior High-Intermediate-Middle,1,10,10,120 WEST 231 STREET,NY,10463,DOLORES PETERSON,718-601-2869,718-601-2867,"06,07,08,SE",BRONX
10X445,X,2,X445,BRONX HIGH SCHOOL OF SCIENCE,High school,1,10,10,75 WEST 205 STREET,NY,10468,VALERIE REIDY,718-817-7700,718-733-7951,"09,10,11,12",BRONX
10X051,X,2,X051,P.S. 051 BRONX NEW SCHOOL,Elementary,1,10,10,3200 JEROME AVENUE,NY,10468,PAUL SMITH,718-584-8772,718-584-8935,"0K,01,02,03,04,05,SE",BRONX
10X280,X,2,X280,P.S./M.S. 280 MOSHOLU PARKWAY,K-8,1,10,10,3202 STEUBEN AVENUE,NY,10467,JAMES WEEKS,718-405-6360,718-405-6329,"0K,01,02,03,04,05,06,07,08,SE",BRONX
10X213,X,2,X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,High school,1,10,10,99 TERRACE VIEW AVENUE,NY,10463,KARALYNE SPERLING,718-563-6678,718-741-5263,"09,10,11,12,SE",BRONX
10X284,X,2,X284,BRONX SCHOOL OF LAW AND FINANCE,High school,1,10,10,99 TERRACE VIEW AVENUE,NY,10463,Evan  Schwartz,718-561-0113,718-561-0595,"09,10,11,12,SE",BRONX
