"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAPRPAG","197301","1142","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197302","1142","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197303","1142","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197304","1142","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197305","1153","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197306","1153","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197307","1142","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197308","1142","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197309","1142","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197310","1059","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197311","914","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197312","893","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197313","1097","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197401","1046","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197402","1067","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197403","1067","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197404","1089","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197405","1089","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197406","1035","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197407","980","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197408","1035","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197409","980","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197410","980","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197411","871","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197412","871","1","Crude Oil Production, Algeria","Thousand Barrels per Day"
"PAPRPAG","197413","1008.6","1","Crude Oil Production, Algeria","Thousand Barrels per Day"

